trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
77,False,"{'a': 0.5, 'e': 0.5401005246443706}",20,0,-10.361520967158931,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.535796957667456}",20,0,-72.8108202725943,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.5315276818787179}",25,3,-37.117646302958356,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.5272924240430485}",30,0,-35.48494023081698,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.5230909131025008}",20,0,-134.66843017765115,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
82,False,"{'a': 0.5, 'e': 0.5189228801589404}",20,11,-10.597105221266395,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.5147880584568362}",25,14,-27.35414113556816,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.5106861833661879}",30,17,-0.24437129249889544,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.5066169923655895}",25,3,-14.18396646046779,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.5025802250254283}",20,0,19.807788662211244,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.4985756229912165}",20,15,2.1744609430062876,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.494602929967057}",25,0,-41.72097970516774,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",1
89,False,"{'a': 0.5, 'e': 0.4906618916992401}",25,14,6.545973074025074,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4867522559599717}",30,0,-111.67304511186444,"{0: 22, 1: 0, 2: 6, 3: 0, 4: 2}",0
91,False,"{'a': 0.5, 'e': 0.48287377253122976}",20,0,-42.23887939861654,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.4790261931887511}",20,1,-54.542654509027656,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 1}",1
93,False,"{'a': 0.5, 'e': 0.47520927168614446}",20,0,-21.125670823934684,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.4714227637391309}",25,10,-1.8439315218375578,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.46766642700990924}",30,7,-16.633258798157847,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.4639400210916467}",20,0,-11.013451321682858,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.46024330749309256}",20,0,-122.24804991175755,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
98,False,"{'a': 0.5, 'e': 0.4565760496233147}",25,12,-0.0028460383248498644,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.4529380127765577}",25,7,-14.827391897737881,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.44932896411722156}",25,0,-76.29925686153841,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
101,False,"{'a': 0.5, 'e': 0.4457486726649602}",25,0,-6.919727105406669,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.44219690927989863}",20,1,-1.7631706558611704,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
